Code,Title,Type,Competency Focus,Start Date,End Date,Notes
V01,Siso Agency (AAA) - AI Automation Agency,Competency,"Entrepreneurial Judgment, Strategic Leadership",2023-09-01,Ongoing,Founder & Lead Developer. AI automation agency providing solutions to enhance business processes.
V02,AI Influencers Project (6→100+),Competency,"Entrepreneurial Judgment, Service Design & Delivery",2023-09-01,Ongoing,Project Lead & Developer. Scaled from 6 to 100+ AI influencers. 50% workload reduction.
V03,SISO Crypto Project,Competency,"Financial Management, Entrepreneurial Judgment",2023-10-01,Ongoing,Founder & Developer. Cryptocurrency trading algorithms and NFT projects.
V04,AI Innovators Hub - Global Community,Competency,"Strategic Leadership, Professional Communication",2024-02-01,Ongoing,Founder & Community Lead. Global AI developer community.
V05,Sales Course at Anglian Windows,Learning by Doing,Professional Communication,2024-02-01,Ongoing,Sales Trainee & Team Member. Gained practical sales experience.
V06,SISO: Clothing Project,Competency,"Entrepreneurial Judgment, Service Design & Delivery",2024-02-01,Ongoing,Founder. Luxury clothing brand with gamification.
V07,Partnership with GSM Payment Provider,Competency,"Strategic Leadership, Financial Management",2024-01-01,Ongoing,Partner & Integration Lead. Payment provider partnership.
V08,AI Influencer Expansion (6→100+),Learning by Doing,"Strategic Leadership, Self-Management, Service Design & Delivery",2024-09-01,2025-05-01,Project Manager. Scaled to 100+ influencers using Agile & SMART goals. Foundation for Objective #6.
V09,Internal Process Automation,Learning by Doing,"Self-Management, Strategic Leadership",2024-09-01,2025-05-01,Automation Architect. 50% manual workload reduction achieved.
V10,Strategic Networking & Partnership Development,Learning by Doing,"Professional Communication, Strategic Leadership",2024-09-01,Ongoing,Network Lead. Strategic partnership with agency secured. Foundation for Objective #6.
V11,Webinar Series & Online Meetups,Learning by Doing,"Professional Communication, Strategic Leadership",2024-10-01,Ongoing,Co-Host & Organizer. AI and digital marketing webinars.
V12,Technology Stack Enhancement,Learning for Others,"Self-Management, Service Design & Delivery",2024-09-01,Ongoing,Technology Lead. Emerging AI technology integration.
V13,Restaurant SaaS - Automation Apps,Learning by Doing,"Entrepreneurial Judgment, Service Design & Delivery",2025-09-01,2025-11-01,"Founder & Lead Developer. STATUS: PIVOTED. Technical success, strategic pivot to e-commerce."
V14,E-commerce SaaS - Client Delivery,Learning by Doing,"Service Design & Delivery, Entrepreneurial Judgment",2025-10-01,Ongoing,"Full-Stack Developer. STATUS: SUCCESS. £1,000 project delivered. Validated e-commerce segment."
V15,Crypto SaaS - Difficult Client,Learning by Doing,"Entrepreneurial Judgment, Self-Management",2025-11-01,2025-11-01,Developer. STATUS: TERMINATED. Client qualification framework developed.
V16,BlackBox - AI Agent Framework R&D,Learning for Others,"Self-Management, Service Design & Delivery, Strategic Leadership",2025-10-29,Ongoing,"Researcher & Framework Architect. 81 videos, 21 repos, 10 papers analyzed."
V17,Partnership Scaling - 100 Partners!,Learning by Doing,"Strategic Leadership, Professional Communication",2025-09-01,2026-04-01,Partnership Lead. STATUS: MILESTONE ACHIEVED. 102 partnerships! Objective #6 complete.
V18,Strategic Priority Correction,Learning by Doing,"Self-Management, Entrepreneurial Judgment",2025-09-01,2025-11-01,Self-Manager. Corrected 8-week pattern of technical avoidance. Informs Objectives #1 & #3.
V19,Delegation to Team - Process Documentation,Learning by Doing,"Self-Management, Strategic Leadership",2025-12-01,2026-01-01,Manager. Tracking system failed. Learned process-based leadership. Objective #3.
V20,Siso Internal - Time Blocking App,Learning by Doing,Self-Management,2025-12-01,2026-01-01,Product Designer. Time-blocking system for strategic priorities. Objective #1 PRIMARY DELIVERABLE.
V21,Team Company Leadership - Strategic Advisor,Competency,"Strategic Leadership, Professional Communication",2023-09-01,Ongoing,Strategic Advisor & Technical Lead. Guided Team Company.
V22,Training Session Workshop,Learning for Others,"Professional Communication, Strategic Leadership",2025-11-01,2025-11-01,Workshop Facilitator. Delivered workshop with 12+ sources.
